id,threads,source,n,stall_cyc,vec_ops,cyc
gemm.openmp.papi8punsnydfq4rmw8y,1,gemm.openmp.c,256,2846862.4,16875528.0,21300560.1
gemm.openmp.papi8punsnydfq4rmw8y,2,gemm.openmp.c,256,1624993.0,8437768.0,10765801.7
gemm.openmp.papi8punsnydfq4rmw8y,3,gemm.openmp.c,256,1054609.0,5669128.0,7226521.9
gemm.openmp.papi8punsnydfq4rmw8y,4,gemm.openmp.c,256,839407.6,4218888.0,5572368.5
gemm.openmp.papi8punsnydfq4rmw8y,5,gemm.openmp.c,256,681086.5,3427848.0,4471457.6
gemm.openmp.papi8punsnydfq4rmw8y,6,gemm.openmp.c,256,537484.9,2834568.0,3672023.7
gemm.openmp.papi8punsnydfq4rmw8y,7,gemm.openmp.c,256,457663.1,2439048.0,3166306.4
gemm.openmp.papi8punsnydfq4rmw8y,8,gemm.openmp.c,256,412996.0,2109448.0,2776772.1
gemm.openmp.papiirs1oe9639m1d6fw,1,gemm.openmp.c,512,24197416.6,134610952.0,162355476.4
gemm.openmp.papiirs1oe9639m1d6fw,2,gemm.openmp.c,512,12715811.4,67305480.0,81021396.9
gemm.openmp.papiirs1oe9639m1d6fw,3,gemm.openmp.c,512,7972712.2,44957960.0,55960883.3
gemm.openmp.papiirs1oe9639m1d6fw,4,gemm.openmp.c,512,7580633.8,33652744.0,42134981.3
gemm.openmp.papiirs1oe9639m1d6fw,5,gemm.openmp.c,512,6089983.3,27079944.0,33760413.2
gemm.openmp.papiirs1oe9639m1d6fw,6,gemm.openmp.c,512,4944192.4,22610440.0,28065428.7
gemm.openmp.papiirs1oe9639m1d6fw,7,gemm.openmp.c,512,4289700.4,19455496.0,24200652.6
gemm.openmp.papiirs1oe9639m1d6fw,8,gemm.openmp.c,512,3757247.3,16826376.0,21204478.8
gemm.openmp.papiuvzz0mxvj7zi0ac7,1,gemm.openmp.c,128,54833.0,2121736.0,2409188.9
gemm.openmp.papiuvzz0mxvj7zi0ac7,2,gemm.openmp.c,128,21821.9,1060872.0,1224279.5
gemm.openmp.papiuvzz0mxvj7zi0ac7,3,gemm.openmp.c,128,22015.5,712776.0,833433.0
gemm.openmp.papiuvzz0mxvj7zi0ac7,4,gemm.openmp.c,128,15514.6,530440.0,639082.6
gemm.openmp.papiuvzz0mxvj7zi0ac7,5,gemm.openmp.c,128,14283.2,430984.0,514469.9
gemm.openmp.papiuvzz0mxvj7zi0ac7,6,gemm.openmp.c,128,13673.0,364680.0,436913.9
gemm.openmp.papiuvzz0mxvj7zi0ac7,7,gemm.openmp.c,128,12741.8,314952.0,386199.2
gemm.openmp.papiuvzz0mxvj7zi0ac7,8,gemm.openmp.c,128,11782.4,265224.0,336199.6
